"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Labrador City NL"	"NL"	10517	52.94	-66.92	0
"Lac du Bonnet MB"	"MB"	1145	50.27	-96.05	0
"Lac la Biche AB"	"AB"	2953	54.77	-111.96	0
"Lac-au-Saumon QC"	"QC"	1203	48.42	-67.33	0
"Lac-Etchemin QC"	"QC"	2322	46.4	-70.5	0
"Lachute QC"	"QC"	9372	45.65	-74.35	0
"Lac-Lapierre QC"	"QC"	2269	45.82	-73.77	0
"Lac-Megantic QC"	"QC"	4675	45.58	-70.88	0
"Lacolle QC"	"QC"	1533	45.08	-73.37	0
"Lacombe AB"	"AB"	10177	52.47	-113.73	0
"Ladysmith BC"	"BC"	9042	48.99	-123.82	0
"Lake Cowichan BC"	"BC"	2872	48.82	-124.03	0
"Lake Echo NS"	"NS"	3497	44.82	-63.44	0
"Lakefield ON"	"ON"	2925	44.43	-78.27	0
"Lamont AB"	"AB"	1800	53.75	-112.78	0
"Langenburg SK"	"SK"	1017	50.83	-101.7	0
"Langham SK"	"SK"	1052	52.37	-106.97	0
"Lanigan SK"	"SK"	1184	51.85	-105.03	0
"L'Annonciation QC"	"QC"	2024	46.4	-74.87	0
"Lantz NS"	"NS"	1437	45.12	-63.71	0
"L'Ascension-de-Notre-Seigneur QC"	"QC"	1766	48.68	-71.67	0
"L'Ascie NL"	"NL"	949	49.97	-55.58	0
"Laurentides QC"	"QC"	4939	45.85	-73.77	0
"Laurier-Station QC"	"QC"	2424	46.54	-71.63	0
"Lavaltrie QC"	"QC"	9166	45.89	-73.29	0
"Le Bic QC"	"QC"	1285	48.37	-68.72	0
"Leaf Rapids MB"	"MB"	1370	56.46	-100	0
"Leamington ON"	"ON"	30814	42.06	-82.6	0
"Lebel-sur-Quevillon QC"	"QC"	3301	49.07	-76.99	0
"Leduc AB"	"AB"	15682	53.26	-113.56	0
"L'Epiphanie QC"	"QC"	4585	45.85	-73.48	0
"Les Cedres QC"	"QC"	1439	45.32	-74.06	0
"Les Coteaux QC"	"QC"	10659	45.3	-74.22	0
"Les Escoumins QC"	"QC"	2049	48.35	-69.42	0
"Lethbridge AB"	"AB"	71390	49.69	-112.83	0
"Lewisporte NL"	"NL"	2870	49.23	-55.07	0
"Lillooet BC"	"BC"	2587	50.68	-121.93	0
"Lindsay ON"	"ON"	18012	44.35	-78.74	0
"Liniere QC"	"QC"	2175	46.05	-70.52	0
"Lions Bay BC"	"BC"	1386	49.46	-123.24	0
"Listowel ON"	"ON"	6316	43.73	-80.97	0
"Little Current ON"	"ON"	1673	45.97	-81.93	0
"Lively ON"	"ON"	7171	46.43	-81.15	0
"Liverpool NS"	"NS"	2755	44.03	-64.72	0
"Lloydminster SK"	"SK"	23099	53.28	-110.01	0
"Logan Lake BC"	"BC"	2191	50.49	-120.83	0
"London ON"	"ON"	348681	42.97	-81.24	0
"Longlac ON"	"ON"	1870	49.78	-86.55	0
"L'Original ON"	"ON"	2175	45.62	-74.68	0
"Louisbourg NS"	"NS"	1022	45.92	-59.98	0
"Louiseville QC"	"QC"	5840	46.25	-72.93	0
"Lucan ON"	"ON"	2150	43.18	-81.4	0
"Luceville QC"	"QC"	1378	48.52	-68.33	0
"Lucknow ON"	"ON"	1291	43.95	-81.52	0
"Lumby BC"	"BC"	1626	50.25	-118.97	0
"Lumsden SK"	"SK"	1453	50.65	-104.87	0
"Lunenburg NS"	"NS"	2450	44.37	-64.32	0
"MacAdam NB"	"NB"	1453	45.58	-67.33	0
"Macamic QC"	"QC"	1565	48.77	-79	0
"MacEwen NB"	"NB"	1228	46.16	-64.99	0
"Mackenzie BC"	"BC"	4982	55.32	-123.08	0
"Macklin SK"	"SK"	1236	52.33	-109.95	0
"Madoc ON"	"ON"	1851	44.52	-77.48	0
"Magog QC"	"QC"	15665	45.26	-72.14	0
"Magrath AB"	"AB"	2120	49.42	-112.88	0
"Malartic QC"	"QC"	3723	48.13	-78.12	0
"Manitouwadge ON"	"ON"	3154	49.13	-85.8	0
"Maniwaki QC"	"QC"	4252	46.37	-75.97	0
"Manning AB"	"AB"	1375	56.93	-117.61	0
"Maple Creek SK"	"SK"	2086	49.92	-109.47	0
"Marathon ON"	"ON"	4686	48.75	-86.37	0
"Marieville QC"	"QC"	5619	45.43	-73.17	0
"Markdale ON"	"ON"	1533	44.32	-80.65	0
"Marmora ON"	"ON"	1700	44.48	-77.68	0
"Martensville SK"	"SK"	4011	52.29	-106.68	0
"Marystown NL"	"NL"	4458	47.17	-55.19	0
"Maskinonge QC"	"QC"	1109	46.22	-73.02	0
