"name"	"country.etc"	"pop"	"lat"	"long"	"capital"
"Gardena CA"	"CA"	61550	33.89	-118.3	0
"Garland TX"	"TX"	217609	32.91	-96.63	0
"Gary IN"	"IN"	96950	41.6	-87.34	0
"Gastonia NC"	"NC"	67937	35.25	-81.17	0
"Georgetown TX"	"TX"	41398	30.65	-97.69	0
"Germantown MD"	"MD"	66720	39.18	-77.26	0
"Gilbert AZ"	"AZ"	186332	33.33	-111.76	0
"Gilroy CA"	"CA"	46107	37.01	-121.58	0
"Glen Burnie MD"	"MD"	40546	39.17	-76.6	0
"Glendale AZ"	"AZ"	244734	33.58	-112.2	0
"Glendale CA"	"CA"	204747	34.18	-118.25	0
"Glendora CA"	"CA"	51929	34.15	-117.84	0
"Glenview IL"	"IL"	47479	42.08	-87.82	0
"Goodyear AZ"	"AZ"	49748	33.35	-112.41	0
"Grand Forks ND"	"ND"	48195	47.92	-97.07	0
"Grand Island NE"	"NE"	45052	40.92	-98.37	0
"Grand Junction CO"	"CO"	46350	39.09	-108.55	0
"Grand Prairie TX"	"TX"	144018	32.69	-97.02	0
"Grand Rapids MI"	"MI"	193006	42.96	-85.66	0
"Grapevine TX"	"TX"	51334	32.93	-97.07	0
"Great Falls MT"	"MT"	55908	47.5	-111.29	0
"Greater Carrollwood FL"	"FL"	42586	28.07	-82.52	0
"Greeley CO"	"CO"	88957	40.42	-104.74	0
"Green Bay WI"	"WI"	100616	44.52	-87.99	0
"Greensboro NC"	"NC"	233342	36.08	-79.83	0
"Greenville NC"	"NC"	72617	35.6	-77.37	0
"Greenville SC"	"SC"	55421	34.84	-82.37	0
"Greenwich CT"	"CT"	64100	41.04	-73.59	0
"Greenwood IN"	"IN"	42298	39.62	-86.11	0
"Gresham OR"	"OR"	100674	45.5	-122.44	0
"Gulfport MS"	"MS"	71400	30.39	-89.07	0
"Hacienda Heights CA"	"CA"	54439	34	-117.97	0
"Hackensack NJ"	"NJ"	43923	40.89	-74.05	0
"Haltom City TX"	"TX"	42053	32.82	-97.27	0
"Hamden CT"	"CT"	60388	41.37	-72.89	0
"Hamilton NJ"	"NJ"	91245	40.09	-74.39	0
"Hamilton OH"	"OH"	61527	39.39	-84.56	0
"Hammond IN"	"IN"	78051	41.62	-87.49	0
"Hampton VA"	"VA"	148201	37.05	-76.29	0
"Hanford CA"	"CA"	48892	36.33	-119.65	0
"Harlingen TX"	"TX"	64198	26.2	-97.69	0
"Harrisburg PA"	"PA"	47576	40.28	-76.88	2
"Harrisonburg VA"	"VA"	41992	38.44	-78.87	0
"Hartford CT"	"CT"	123836	41.77	-72.68	2
"Hattiesburg MS"	"MS"	48728	31.31	-89.31	0
"Haverhill MA"	"MA"	61928	42.78	-71.09	0
"Hawthorne CA"	"CA"	87677	33.91	-118.35	0
"Hayward CA"	"CA"	140704	37.63	-122.1	0
"Helena MT"	"MT"	27383	46.6	-112.03	2
"Hemet CA"	"CA"	71300	33.73	-117	0
"Hempstead NY"	"NY"	52769	40.7	-73.62	0
"Henderson NV"	"NV"	255646	36.03	-115	0
"Hendersonville TN"	"TN"	45358	36.29	-86.6	0
"Hesperia CA"	"CA"	75966	34.42	-117.3	0
"Hialeah FL"	"FL"	224644	25.86	-80.3	0
"Hickory NC"	"NC"	40968	35.74	-81.33	0
"Hicksville NY"	"NY"	41452	40.76	-73.53	0
"High Point NC"	"NC"	96011	35.98	-80	0
"Highland CA"	"CA"	52692	34.12	-117.19	0
"Highlands Ranch CO"	"CO"	109009	39.55	-104.97	0
"Hillsboro OR"	"OR"	85046	45.53	-122.94	0
"Hilo HI"	"HI"	43466	19.7	-155.09	0
"Hingham MA"	"MA"	41654	42.24	-70.89	0
"Hoboken NJ"	"NJ"	39972	40.74	-74.03	0
"Hoffman Estates IL"	"IL"	50674	42.06	-88.14	0
"Hollywood FL"	"FL"	145877	26.03	-80.16	0
"Holyoke MA"	"MA"	40143	42.21	-72.64	0
"Honolulu HI"	"HI"	386345	21.32	-157.8	2
"Hoover AL"	"AL"	67576	33.38	-86.82	0
"Houston TX"	"TX"	2043005	29.77	-95.39	0
"Huntersville NC"	"NC"	43970	35.41	-80.86	0
"Huntington Beach CA"	"CA"	197124	33.69	-118.01	0
"Huntington Park CA"	"CA"	64308	33.98	-118.22	0
"Huntington WV"	"WV"	47905	38.41	-82.43	0
"Huntsville AL"	"AL"	169155	34.71	-86.63	0
"Hutchinson KS"	"KS"	40386	38.07	-97.91	0
"Idaho Falls ID"	"ID"	52431	43.49	-112.03	0
"Independence MO"	"MO"	110124	39.09	-94.35	0
"Indianapolis IN"	"IN"	771725	39.78	-86.15	2
"Indio CA"	"CA"	69736	33.72	-116.23	0
"Inglewood CA"	"CA"	116797	33.96	-118.34	0
"Iowa City IA"	"IA"	64490	41.66	-91.54	0
"Irondequoit NY"	"NY"	51825	43.21	-77.57	0
"Irvine CA"	"CA"	199755	33.66	-117.8	0
"Irving TX"	"TX"	194407	32.86	-96.97	0
"Irvington NJ"	"NJ"	61373	40.72	-74.23	0
"Jackson MS"	"MS"	175085	32.32	-90.21	2
"Jackson TN"	"TN"	62552	35.63	-88.83	0
"Jacksonville FL"	"FL"	809874	30.33	-81.66	0
"Jacksonville NC"	"NC"	68201	34.76	-77.4	0
"Janesville WI"	"WI"	61952	42.68	-89.02	0
"Jefferson City MO"	"MO"	39062	38.57	-92.19	2
"Jersey City NJ"	"NJ"	237125	40.71	-74.06	0
